3810,50-0455,15974,1692210334
3811,50-9341,50610,1692210334
3812,50-1467,17820,1692210334
3813,50-3050,7500,1692210334
3814,50-3627,6000,1692210334
3815,50-3632,6640,1692210334
3816,50-1713,4500,1692210334
3817,50-1731,4500,1692210334
3818,50-8670,4600,1692210334
3819,50-5401,4600,1692210334
3820,50-5404,4600,1692210334
3821,50-4748,17208,1692210334
3822,50-4865,28400,1692210334
3823,50-6729,2376,1692210334
3824,50-4900,4374,1692210334
3825,50-3214,3360,1692210334
3826,50-5214,5040,1692210334
3827,50-4114,6760,1692210334
3828,50-6114,11062,1692210334
3829,50-4314,7708,1692210334
3830,50-6314,9072,1692210334
3831,50-0450,2500,1692210334
3832,50-0447,2500,1692210334
3833,50-0519,2500,1692210334
3738,50-0455,13000,1691408280
3739,50-9341,55555,1691408280
3740,50-1467,27000,1691408280
3741,50-3050,7500,1691408280
3742,50-3627,6000,1691408280
3743,50-3632,6640,1691408280
3744,50-1713,4500,1691408280
3745,50-1731,4500,1691408280
3746,50-8670,7200,1691408280
3747,50-5401,7200,1691408280
3748,50-5404,7200,1691408280
3749,50-4748,17208,1691408280
3750,50-4865,24064,1691408280
3751,50-6729,2376,1691408280
3752,50-4900,4374,1691408280
3753,50-3214,5214,1691408280
3754,50-5214,5040,1691408280
3755,50-4114,6760,1691408280
3756,50-6114,11062,1691408280
3757,50-4314,7708,1691408280
3758,50-6314,9072,1691408280
3759,50-0450,2500,1691408280
3760,50-0447,2100,1691408280
3761,50-0519,1550,1691408280
3690,50-0455,13000,1690806419
3691,50-9341,66666,1690806419
3692,50-1467,27000,1690806419
3693,50-3050,7500,1690806419
3694,50-3627,6000,1690806419
3695,50-3632,6640,1690806419
3696,50-1713,4500,1690806419
3697,50-1731,4500,1690806419
3698,50-8670,7200,1690806419
3699,50-5401,7200,1690806419
3700,50-5404,7200,1690806419
3701,50-4748,17208,1690806419
3702,50-4865,24064,1690806419
3703,50-6729,2376,1690806419
3704,50-4900,4374,1690806419
3705,50-3214,3360,1690806419
3706,50-5214,5040,1690806419
3707,50-4114,6760,1690806419
3708,50-6114,11062,1690806419
3709,50-4314,7708,1690806419
3710,50-6314,9072,1690806419
3711,50-0450,2500,1690806419
3712,50-0447,2100,1690806419
3713,50-0519,1550,1690806419
3666,50-0455,13000,1690307958
3667,50-9341,77777,1690307958
3668,50-1467,27000,1690307958
3669,50-3050,7500,1690307958
3670,50-3627,6000,1690307958
3671,50-3632,6640,1690307958
3672,50-1713,4500,1690307958
3673,50-1731,4500,1690307958
3674,50-8670,7200,1690307958
3675,50-5401,7200,1690307958
3676,50-5404,7200,1690307958
3677,50-4748,17208,1690307958
3678,50-4865,24064,1690307958
3679,50-6729,2376,1690307958
3680,50-4900,4374,1690307958
3681,50-3214,3360,1690307958
3682,50-5214,5040,1690307958
3683,50-4114,6760,1690307958
3684,50-6114,11062,1690307958
3685,50-4314,7708,1690307958
3686,50-6314,9072,1690307958
3687,50-0450,2500,1690307958
3688,50-0447,2100,1690307958
3689,50-0519,1550,1690307958
3642,50-0455,13000,1690108644
3643,50-9341,88888,1690108644
3644,50-1467,27000,1690108644
3645,50-3050,7500,1690108644
3646,50-3627,6000,1690108644
3647,50-3632,6640,1690108644
3648,50-1713,4500,1690108644
3649,50-1731,4500,1690108644
3650,50-8670,7200,1690108644
3651,50-5401,7200,1690108644
3652,50-5404,7200,1690108644
3653,50-4748,17208,1690108644
3654,50-4865,24064,1690108644
3655,50-6729,2376,1690108644
3656,50-4900,4374,1690108644
3657,50-3214,3360,1690108644
3658,50-5214,5040,1690108644
3659,50-4114,6760,1690108644
3660,50-6114,11062,1690108644
3661,50-4314,7708,1690108644
3662,50-6314,9072,1690108644
3663,50-0450,2500,1690108644
3664,50-0447,2100,1690108644
3665,50-0519,1550,1690108644
3594,50-0455,13000,1688992339
3595,50-9341,55000,1688992339
3596,50-1467,27000,1688992339
3597,50-3050,7500,1688992339
3598,50-3627,6000,1688992339
